#{"t_start": 1729737768.0667076, "env_id": "None"}
r,l,t
36.370868,365,924.710713
36.078253,365,925.641713
36.51745,365,926.497737
34.923326,365,927.386713
36.254307,365,929.310713
36.156793,365,930.236713
36.424255,365,931.108713
36.160882,365,931.993713
36.690333,365,932.774745
35.446099,365,933.725713
36.560465,365,935.532736
36.452958,365,936.336713
35.132301,365,937.300737
35.666311,365,938.122713
35.639305,365,939.06374
36.339529,365,940.022742
36.262016,365,941.864713
36.230189,365,942.787838
35.900104,365,943.689424
36.541231,365,944.564424
36.268433,365,949.642424
36.283114,365,951.538398
36.311908,365,952.46642
35.381943,365,953.385398
35.94877,365,954.286428
36.260344,365,955.238398
35.350317,365,956.184397
35.798055,365,958.091422
36.351892,365,958.963429
35.278558,365,959.922426
35.900797,365,960.834422
36.634673,365,961.765427
36.349131,365,963.646397
36.565051,365,964.451398
35.830146,365,965.445423
36.051554,365,966.304398
36.281118,365,967.087398
36.435837,365,968.020431
36.727009,365,969.897972
36.15396,365,970.758996
36.266947,365,971.617012
34.992652,365,972.538534
33.232164,365,973.517534
34.692673,365,974.356534
35.622228,365,976.250535
36.425935,365,977.110573
36.419859,365,977.941534
35.652075,365,982.838533
36.460587,365,983.73707
36.124908,365,985.636679
36.31024,365,986.511095
36.531518,365,987.359638
36.523756,365,988.262751
35.616272,365,989.047892
35.772963,365,989.968029
35.406827,365,991.817394
36.365452,365,992.698401
36.274292,365,993.606433
35.921909,365,994.526401
36.393993,365,995.396401
35.826361,365,997.217401
36.42853,365,998.038062
36.068327,365,998.969062
36.501162,365,999.856086
36.528643,365,1000.790086
35.961177,365,1001.735061
36.515329,365,1003.589062
36.678643,365,1004.540436
36.567149,365,1005.488402
36.670826,365,1006.430433
35.81498,365,1007.288402
35.216866,365,1008.246433
35.894691,365,1010.171402
36.281043,365,1011.034402
36.422888,365,1016.138426
36.646901,365,1016.99243
36.688046,365,1017.926402
36.322378,365,1019.671402
35.773981,365,1020.551402
34.70227,365,1021.498432
36.253601,365,1022.411504
36.426497,365,1023.21848
35.011843,365,1024.209505
35.984968,365,1026.018503
36.498054,365,1026.914505
36.649199,365,1027.899504
36.496357,365,1028.723505
36.491756,365,1029.708506
36.469225,365,1030.559519
36.561279,365,1032.354549
36.029723,365,1033.321548
35.943411,365,1034.190682
34.705063,365,1035.112682
36.784573,365,1036.033682
36.25791,365,1037.762732
36.53115,365,1038.627738
36.425753,365,1039.454732
36.505081,365,1040.354707
36.396399,365,1041.263731
36.444245,365,1042.15573
36.260803,365,1044.064733
36.483368,365,1044.922736
36.222886,365,1049.971707
35.882389,365,1050.885732
36.65211,365,1051.722707
36.679702,365,1053.513707
36.590632,365,1054.442744
36.685772,365,1055.38973
36.498592,365,1056.363707
35.951706,365,1057.325707
36.74031,365,1058.207744
36.532517,365,1060.074731
36.372543,365,1060.968733
36.392067,365,1061.835742
35.775014,365,1062.720707
36.56061,365,1063.624707
36.555639,365,1064.514707
36.401164,365,1066.393739
36.537918,365,1067.33873
36.523779,365,1068.250737
36.715723,365,1069.122706
36.408665,365,1070.073707
36.352517,365,1071.800722
36.535926,365,1072.777773
36.690514,365,1073.779799
36.18942,365,1074.684804
36.253787,365,1075.628797
36.600762,365,1076.494796
36.52284,365,1078.330773
36.703721,365,1083.441868
36.624682,365,1084.366874
35.723193,365,1085.191844
36.677114,365,1086.108843
36.69664,365,1087.967844
36.747724,365,1088.827844
36.629021,365,1089.772844
36.602015,365,1090.712874
36.720596,365,1091.475843
36.196685,365,1092.311875
36.218078,365,1094.203923
36.45179,365,1095.110958
36.27932,365,1096.083923
36.408961,365,1096.894923
36.501883,365,1097.773922
36.183056,365,1098.605947
36.724883,365,1100.538006
36.570975,365,1101.423981
36.790188,365,1102.225005
36.623006,365,1103.07399
36.585415,365,1103.942017
36.667323,365,1105.826045
36.281085,365,1106.763035
36.577244,365,1107.690012
36.424018,365,1108.568012
36.754944,365,1109.400011
36.384822,365,1110.366012
36.760933,365,1112.218012
36.697109,365,1117.200012
36.702289,365,1118.186611
36.649607,365,1119.075578
36.67546,365,1119.988578
36.461363,365,1121.787579
36.80899,365,1122.664578
36.726308,365,1123.583603
36.706651,365,1124.499578
36.614277,365,1125.300605
36.662646,365,1126.178615
36.465154,365,1128.064578
36.484407,365,1129.021578
36.694379,365,1129.903939
36.722938,365,1130.84497
36.804642,365,1131.629963
36.669732,365,1132.537537
36.756204,365,1134.368019
36.600481,365,1135.270019
36.619671,365,1136.126019
36.367038,365,1137.078019
36.474156,365,1138.109059
36.656861,365,1139.87105
36.272937,365,1140.762019
36.543266,365,1141.64805
36.64402,365,1142.529019
36.71398,365,1143.380044
36.809783,365,1144.234053
36.480988,365,1150.375019
36.66574,365,1151.21202
36.652983,365,1151.967019
36.124928,365,1152.839051
36.457744,365,1153.790049
36.515623,365,1154.669019
36.726721,365,1156.469019
36.740822,365,1157.265019
36.761494,365,1158.116019
36.102943,365,1159.018053
36.494399,365,1159.871058
36.611623,365,1161.729019
36.750407,365,1162.657019
36.691788,365,1163.449019
36.661494,365,1164.279045
36.576285,365,1165.23702
36.709275,365,1166.090043
36.142249,365,1167.920019
36.597766,365,1168.84805
36.168735,365,1169.723075
36.57989,365,1170.651051
36.75351,365,1171.496082
36.803987,365,1173.263051
36.475923,365,1174.185075
36.721262,365,1175.171077
36.425987,365,1176.047051
36.403737,365,1176.94405
36.602605,365,1181.853117
36.524435,365,1183.797093
35.927848,365,1184.769125
36.720474,365,1185.656094
36.400282,365,1186.590094
36.180023,365,1187.529117
36.789247,365,1188.430118
36.372403,365,1190.379605
36.78236,365,1191.239606
36.794882,365,1192.006606
36.722922,365,1192.829628
36.755927,365,1193.751642
36.77079,365,1195.60063
36.800501,365,1196.435629
36.703819,365,1197.401609
36.318658,365,1198.448629
36.649269,365,1199.33663
36.609519,365,1200.206606
36.484144,365,1202.044639
36.682666,365,1203.010643
36.695952,365,1203.867637
36.714679,365,1204.800637
36.19083,365,1205.687606
36.580163,365,1207.62114
36.739185,365,1208.528172
36.676741,365,1209.482141
36.451197,365,1210.43014
36.079657,365,1211.304171
36.744238,365,1216.447471
36.673651,365,1218.268448
36.503347,365,1219.271447
36.694473,365,1220.155662
36.606523,365,1221.07978
36.740656,365,1221.993855
36.783068,365,1222.836375
36.294067,365,1224.731376
36.675462,365,1225.635375
36.688218,365,1226.556376
36.712028,365,1227.413375
36.327018,365,1228.349399
36.673642,365,1230.210413
36.425383,365,1231.081376
36.606595,365,1231.965416
36.259741,365,1232.881376
36.73195,365,1233.816401
36.732102,365,1234.704376
36.546798,365,1236.596376
36.49647,365,1237.5674
36.707284,365,1238.487376
36.626814,365,1239.349376
36.664753,365,1240.239402
36.450975,365,1242.129376
36.693781,365,1243.065449
36.803489,365,1243.943415
36.554477,365,1244.796415
36.806341,365,1249.778584
36.813537,365,1250.630585
36.146586,365,1252.557584
36.428671,365,1253.575583
36.71298,365,1254.525614
36.704998,365,1255.373205
36.445761,365,1256.276175
36.556931,365,1257.115175
36.491231,365,1259.023279
36.450413,365,1260.009364
36.612986,365,1261.005373
36.39354,365,1261.878373
36.604167,365,1262.781373
36.363015,365,1264.678403
36.784246,365,1265.564399
36.780377,365,1266.444397
36.825347,365,1267.252408
36.755047,365,1268.045376
36.685039,365,1268.922373
36.786749,365,1270.707448
36.719145,365,1271.655447
36.722856,365,1272.625423
36.7277,365,1273.595452
36.547404,365,1274.545453
36.698573,365,1275.480995
36.734023,365,1277.340991
36.605669,365,1278.224016
36.366425,365,1279.215991
36.633952,365,1284.222991
36.69845,365,1285.156991
36.799352,365,1286.99999
36.467427,365,1287.901991
36.574037,365,1288.833022
36.599174,365,1289.65199
36.515811,365,1290.56799
36.123286,365,1291.421991
36.670058,365,1293.272991
36.857659,365,1294.167991
36.778037,365,1295.009015
36.710148,365,1295.91199
36.718985,365,1296.871015
36.782226,365,1298.725499
36.467361,365,1299.618499
36.752768,365,1300.5685
36.832738,365,1301.4895
36.753066,365,1302.4465
36.708885,365,1303.329539
36.532896,365,1305.2425
36.859965,365,1306.195532
36.738937,365,1307.0525
36.777489,365,1307.9535
36.513068,365,1308.875523
36.57155,365,1309.762501
36.822819,365,1311.6085
36.744732,365,1312.54953
36.794019,365,1317.623009
36.419857,365,1318.508033
36.817496,365,1319.307009
36.789189,365,1321.17101
36.844857,365,1322.055009
36.767251,365,1322.946008
36.779769,365,1323.859009
36.778878,365,1324.773009
36.626209,365,1325.492009
36.411103,365,1327.341039
36.653088,365,1328.24104
36.832107,365,1329.114009
36.393904,365,1330.079551
36.605764,365,1330.982551
36.803295,365,1332.835551
36.313385,365,1333.743551
36.6656,365,1334.655574
36.679583,365,1335.561575
36.71016,365,1336.502576
36.469641,365,1337.392551
36.77913,365,1339.219552
36.415335,365,1340.146575
36.496958,365,1341.040551
36.853141,365,1341.891551
36.798344,365,1342.769697
36.686346,365,1343.586671
36.695488,365,1345.369672
36.711602,365,1350.377023
36.700005,365,1351.193998
36.645319,365,1352.113998
36.798235,365,1353.088034
36.81733,365,1354.894028
36.585939,365,1355.675997
36.704275,365,1356.602998
36.533867,365,1357.516032
36.558102,365,1358.429998
36.758487,365,1359.333022
36.768611,365,1361.207529
36.66062,365,1362.133506
36.537418,365,1363.051507
36.713664,365,1363.954537
36.49566,365,1364.871506
36.406679,365,1366.701506
36.808708,365,1367.565506
36.465257,365,1368.538541
36.508948,365,1369.44953
36.773409,365,1370.313537
36.795482,365,1371.270509
36.377479,365,1373.21353
36.801998,365,1374.069534
36.684879,365,1374.957506
36.605317,365,1375.810506
36.740015,365,1376.598539
36.404275,365,1377.568866
36.438983,365,1379.480836
36.723442,365,1384.564858
36.267517,365,1385.478873
36.703581,365,1386.384873
36.74186,365,1387.287873
36.764854,365,1389.118896
36.698544,365,1389.997873
